event_id,claim,label,check_worthiness
100116,Both Robert E. Lee and Jefferson Davis disavowed the Confederacy after the Civil War.,1,1.0
100242,First Lady Melania Trump again copied words from Michelle Obama while denouncing violence in Charlottesville.,1,1.0
100262,Anonymous seized the domain of white supremacist site Daily Stormer and announced its imminent demise.,1,1.0
100307,We check an assortment of claims about the 2017 total solar eclipse over North America.,1,1.0
100562,Iceland has virtually removed the occurrence of Down syndrome from their population through abortion.,1,1.0
100602,"Trump referred to white nationalist marchers as ""us"" during a press conference.",1,1.0
101008,"Between the end of the Civil War and his death, former Confederate General Robert E. Lee expressed opposition to the building of Confederate monuments.",1,1.0
101393,"Russia used ""GPS spoofing"" to cause the USS John McCain to collide with a merchant vessel.",1,1.0
101453,"In August 2017, Camping World CEO Marcus Lemonis told supporters of President Donald Trump not to shop at his stores.",1,1.0
101538,East Central University has been forced to remove a cross and other Christian symbols from their chapel.,1,1.0
101550,Robert F. Kennedy Jr. said that “Trump could be the greatest president in history.”,1,0.0
101697,"In August 2017, Oregon governor Kate Brown signed a ""gun confiscation"" law.",1,1.0
101771,"In August 2017, Richard Robert Rawling was indicted for ""skewing vote tallies"" in favor of Donald Trump and other Republican candidates during the March 2016 primaries.",1,1.0
102035,"Joel Osteen's Lakewood Church in Houston is ""inaccessible"" because of flooding caused by Hurricane Harvey.",1,1.0
102043,"Congress ""quietly"" passed legislation allowing authorities to raid private property with no warrant.",1,1.0
102820,"During the August 2017 solar eclipse, some people in California applied sunscreen to their eyeballs in a mistaken attempt to protect their eyes from damage.",1,1.0
103154,"Pro-Donald Trump activists were accosted by a ""violent mob"" while eating pizza at a Chicano Park.",1,1.0
103326,An assortment of rumors associated with Hurricane Irma in September 2017.,1,0.0
104364,"Hobby Lobby came ""under fire"" by liberals for using cotton in their home decor products.",1,1.0
104532,"Man-made, radioactive “diamond batteries” are capable of providing thousands of years of energy without a charge.",1,1.0
104741,The NFL's rulebook contains a regulation specifically requiring players to stand on the sideline during the pre-game playing of the U.S. national anthem.,1,1.0
104904,The Iowa Hawkeyes football team built a children's hospital next to their stadium and started a tradition of waving at its patients during home games.,1,1.0
105093,DIRECTV is offering refunds to NFL package subscribers to express dissatisfaction over national anthem protests,1,1.0
105192,"In September 2017, a Cheesecake Factory customer in California received a check that presented misleading and exaggerated tip suggestions.",1,1.0
105589,A Puerto Rico police officer has revealed that San Juan's mayor is sabotaging relief efforts to reflect poorly on President Donald Trump.,1,1.0
105778,"During a concert in Las Vegas on 1 October 2017, a ""mystery woman"" warned or threatened crowds about the mass shooting that took place shortly afterwards.",1,1.0
105966,The Department of Agriculture rejected a request by Puerto Rico that Nutrition Assistance Program rules be waived so that food stamps recipients could use EBT cards to purchase hot food.,1,1.0
106065,The Oakland Raiders' offensive line allowed quarterback Derek Carr to be sacked several times because he did not take part in a protest during the national anthem.,1,1.0
106095,An anonymous 4chan user predicted the October 2017 Las Vegas Strip mass shooting.,1,1.0
106186,Taking one or more rides on the Big Thunder Mountain roller coaster at Walt Disney World can help dislodge kidney stones.,1,1.0
106204,"A poster calling Trump a ""pendejo"" has been posted ""all over"" Puerto Rico.",1,1.0
107021,"After only nine months in office, President Trump and family had already spent $147 million on personal travel, amounting to one-and-a-half times as much as President Obama and family spent in the eight years of the latter's presidency.",1,1.0
107050,An image shows a house that was saved from a fire by sprinklers.,1,1.0
107213,Officials say the October 2017 California wildfires were started by Mexican drug cartels in order to gain a strategic advantage over the legal marijuana industry.,1,1.0
107291,Bay leaves contain a compound that decreases anxiety when burned.,1,1.0
107313,"In October 2017, a ""demonic"" drag queen read a ""sexually explicit"" book to children at a Long Beach public library named after Michelle Obama.",1,1.0
107485,The killing of four U.S. soldiers in an October 2017 ambush by Islamic militants in Niger was far worse a debacle than the 2012 attack on U.S. diplomatic facilities in Benghazi.,1,1.0
107533,More than four times as many people are stabbed to death than killed with rifles of any kind.,1,1.0
107598,A transgender woman raped a young girl in a women's bathroom because bills were passed allowing transgender people to use bathrooms which correspond with their gender.,1,1.0
109188,"In retaliation for Donald Trump's border wall plan, Mexico will soon shift all its imports of corn, rice, soy, and wheat from the United States to Argentina.",1,1.0
109325,"As of November 2017, Pizza chain Papa John's had pulled their advertising from the National Football League.",1,1.0
109625,"We investigated a number of hoaxes, rumors, and conspiracy theories associated with a mass shooting in Sutherland Springs, Texas on 5 November 2017.",1,1.0
114971,President Trump abruptly closed the Dogs for Wounded Warriors program.,1,1.0
115337,Cards Against Humanity purchased acres of land on the U.S.-Mexico border and retained a law firm to fight President Trump's plan to construct a border wall.,1,1.0
115817,The Republican tax reform plan would increase the tax burden on graduate students by counting waived tuition as personal income.,1,1.0
116105,"Leonardo da Vinci's dying words were ""I have offended God and mankind because my work did not reach the quality it should have.""",1,1.0
116201,The U.S. National Park Service is selling Trump-branded wines at Shenandoah National Park in Virginia.,1,1.0
116509,"Chlorpyrifos, an insecticide with alleged origins in Nazi Germany, was set to be banned by the EPA over health and environmental safety concerns; but President Trump reversed this decision after Dow Chemicals, a manufacturer of the chemical, donated one million dollars to his inauguration fund.",1,1.0
116545,"The Amish own 20 percent of the nation's ""puppy mills.""",1,1.0
116698,iPhone users can access emergency services simply by tapping the Lock button of their device five times.,1,1.0
116962,The DEA recently classified synthetic marijuana as a legally-obtainable Schedule II drug while continuing to list plant-based marijuana as a Schedule I drug with “no currently accepted medical use.”,1,1.0
117410,We investigate an assortment of claims about the 2017 tax bill and its provisions.,1,1.0
117696,A video shows a Boeing 737 Max plane taking off at a 90-degree angle.,1,1.0
118351,"""Hatchimal"" bath bombs are giving children chemical burns.",1,1.0
118835,Vegetarians live longer than meat eaters.,1,1.0
119412,President Donald Trump hosted the National Rifle Association at the White House on the anniversary of the Sandy Hook massacre.,1,1.0
120305,"Rosie O'Donnell bribed two senators to vote ""no"" on the GOP tax bill via Twitter.",1,1.0
120705,Four claims document remarkable characteristics about Harvard University graduate student Sabrina Pasterski.,1,1.0
121426,"President Donald Trump said it was ""low-class"" of Vice President Mike Pence and his family to move some of their pets to Washington D.C.",1,1.0
121717,An intern made a white supremacist hand gesture in a photograph with President Trump.,1,1.0
122539,"Oprah Winfrey said that in order for the problem of racism to be solved, old white people have to die.",1,0.0
122922,A widely shared social media post accurately lists reprehensible acts committed by former Maricopa County Sheriff Joe Arpaio.,1,1.0
123534,"Ronald Reagan, who was diagnosed with Alzheimer's Disease five years after he left the presidency, was actually suffering from the disease while he was in office.",1,1.0
123872,"Peter Brabeck-Letmathe, a former chairman and CEO of Nestlé, said that water is not a human right.",1,1.0
124993,"Immigration and Customs Enforcement (ICE) detained and deported Polish doctor Lukasz Niec, 40 years after he emigrated to the United States as a young child.",1,1.0
125014,President Donald Trump's 2018 budget proposal calls for cuts in benefits to highly disabled veterans,1,1.0
125608,Mississippi House Bill 1100 would force public school teachers to recite the Ten Commandments at the start of each school day.,1,1.0
125858,Farmers are injecting fruits and vegetables with the human hormone oxytocin to enhance their growth and appearance.,1,1.0
126050,"Teenagers are participating in a dangerous new internet craze known as the ""No Lackin Challenge,"" and two teenagers was shot in the head during an instance of the fad gone awry.",1,1.0
127285,"Outback Steakhouse is a ""gun free zone"" and a police officer was ejected for carrying his service weapon.",1,1.0
127510,"GlaxoSmithKline is recalling 600,000 Ventolin inhalers.",1,1.0
127761,"The seven biggest one-day Dow Jones points drops took place during Republican presidencies, showing that Republicans are not ""good for the economy.""",1,1.0
127812,The parents of First Lady Melania Trump emigrated to the U.S. through family reunification visas.,1,1.0
127852,Video footage shows cats being offered as prizes in an arcade claw machine in China.,1,1.0
127927,A Spirit Airlines employee advised a young woman to flushing her emotional support hamster down the toilet in order to board a flight.,1,1.0
128196,"In 35 states, it's legal for police officers to have sex with unconsenting detainees.",1,1.0
128244,"President Eisenhower rejected the idea of military parades, saying they ""would make us look weak.""",1,1.0
128654,We fact-check a series of claims about the damage caused by Colorado's legalization of recreational cannabis.,1,1.0
129421,A set of images show President Barack Obama and President Donald Trump in the aftermath of various school shootings.,1,1.0
129464,"Nikolas Cruz, the confessed gunman in the February 2018 school shooting in Parkland, Florida, is or was a member of a known white supremacist or white nationalist organization.",1,1.0
129466,One or more U.S. presidents (or members of their families) kept live alligators in the White House or on its grounds.,1,1.0
130176,"Billy Graham said ""All homosexuals should be castrated.""",1,1.0
130527,Gov. Jerry Brown of California signed a bill that bans teachers from carrying firearms and shooting back at school shooters.,1,1.0
131791,"Between 2009 and 2015, the United States had a lower mass shootings death rate than several European countries.",1,1.0
132139,The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.,1,1.0
132667,"In 1862, Abraham Lincoln ordered the execution by hanging of 38 Dakota Sioux fighters.",1,1.0
132756,Bones found on the remote Pacific Island of Nikumaroro belong to famed aviator Amelia Earhart.,1,1.0
132844,"A new ""super"" antenna called Octa Air is a legitimate replacement for cable that can provide customers with 100s of free HDTV channels.",1,1.0
132846,A high school principal in Minnesota singled out a pro-gun rights student during a pro-gun control protest and escorted him off campus.,1,1.0
133108,An Ohio high school student was suspended for not participating in a walkout protest over gun violence.,1,1.0
133205,Blue Buffalo pet food contains unsafe and higher-than-average levels of lead.,1,1.0
133586,President Richard Nixon hid a time capsule in the White House containing evidence of alien life and human contact with extraterrestrials.,1,1.0
134135,"The suspect in the fatal Austin bombings of March 2018 was part of a group calling itself ""Righteous Invasion of Truth.""",1,1.0
134255,"David Hogg stated that he believes that the enforced use of clear backpacks in school constitutes a violation of students' First Amendment rights, but he favors the abolition of the Second Amendment.",1,1.0
134412,Indiana Gov. Eric Holcomb passed a law that will lead to jail time for women who fail to disclose abortions.,1,1.0
134499,Corey Feldman was stabbed by assailants angered by his claims that he was victim of pedophilia.,1,1.0
134702,"In March 2018, Pope Francis denied the existence of Hell.",1,1.0
135453,A California bill would unduly penalize police if they shot people carrying pellet guns or malfunctioning firearms.,1,1.0
135550,"The U.S. has several million more registered voters than eligible, voting-age adults.",1,1.0
135911,President Trump exempted Ivanka Trump's clothing line from tariffs on Chinese imports.,1,1.0
136545,Parent's Choice diapers are causing small children to suffer chemical burns.,1,1.0
136550,"In November 2017, Pope Francis called for the right to marry for Catholic priests.",1,1.0
140410,Dead Kennedys frontman Jello Biafra was sued by his bandmates because he didn’t want one of their songs used in a Levi’s commercial.,1,1.0
141047,"One of Vice President Mike Pence's older brothers, Ed Pence, is an executive at Cummins Inc., a company that manufactures engines for the Russian military and has also used lobbying firms connected with Paul Manafort, indicating that Mike Pence may have compromising ties to Russia.",1,1.0
142117,"President Donald Trump was ""ordered"" by the Bush family not to attend former first lady Barbara Bush's funeral.",1,1.0
142254,The royal family's official town crier announced the birth of Prince William and the Duchess of Cambridge's third child.,1,1.0
142256,"YETI told the NRA the brand no longer wishes to do business with the organization, demonstrating that YETI does not support the Second Amendment.",1,1.0
142264,"President Donald Trump was using an anti-Semitic slur when he called NBC host Chuck Todd ""sleepy eyes.""",1,1.0
142498,"A rapist may sue a victim for custody of a child in 31 states, but in no states may victims seek child support from rapists.",1,1.0
142506,A meme presents accurately describes Japan's healthcare and health insurance system.,1,0.0
143061,The Westmoreland News ran a KKK ad on the front page of their newspaper in April 2018.,1,1.0
143541,A set of images show a congenital anomaly that resulted in an a hand with eight fingers.,1,1.0
143551,Ramad Chatman was given a jail sentence for a crime of which he was acquitted.,1,1.0
143637,Abraham Lincoln was an accomplished wrestler who was inducted into the Wrestling Hall of Fame with a near-perfect record.,1,1.0
143749,"Two black men, Alize Ramon Smith and Jarron Keonte Moreland of Moore, Oklahoma, were lynched by four white people in April 2018, a crime that was largely ignored by the media.",1,1.0
144015,"A meme circulating online shows the average minimum wages in France, Australia, and the U.S. as well as the average cost of a Big Mac in each country.",1,1.0
144150,Neutrogena Makeup Remover Cleansing Towelettes are causing a number of severe allergic reactions.,1,1.0
144643,"President Trump's decision to reverse the Iran nuclear deal will cost 100,000 Boeing jobs.",1,1.0
144665,"In May 2018, the Colorado House of Representatives passed a ""gun confiscation"" bill.",1,1.0
144787,"The Boy Scouts of America lost 425,000 members in May 2018, in response to a decision to integrate more girls into the organization, and to give the ""Boy Scouts"" program a new, gender-neutral name.",1,1.0
145858,Louisiana will evict elderly people from nursing homes because Medicaid funds ran out.,1,1.0
146081,"Donald Trump called undocumented immigrants ""animals,"" just as Adolf Hitler called Jewish people ""animals.""",1,1.0
146222,"So far in 2018, the number of U.S. students killed in school shootings is greater than the number of U.S. military personnel who have been killed on active duty.",1,1.0
146850,Christopher Columbus sold sex slaves — some as young as nine years old.,1,1.0
147139,"In 2018, President Donald Trump began a policy of forcing detained immigrants scheduled for criminal prosecution to wear identifying wristbands and yellow bracelets.",1,1.0
147814,"Former First Lady Michelle Obama orchestrated the cancellation of ""Roseanne"" and firing of its titular star, Roseanne Barr.",1,1.0
148073,A revealing photograph shows President Obama with current and future FBI directors.,1,1.0
149097,"In 2017 and 2018, teenage boys widely purchased and used a urethra-covering adhesive band called the Jiftip.",1,1.0
149142,A child died in June 2018 because his parents used essential oils to treat his asthma.,1,1.0
149417,A large circle marked on a protester's poster is an accurate reflection of the size of the hole created by an AR-15 round.,1,1.0
