id,label,statement,check_worthiness
7550.json,5,We have a federal government that thinks they have the authority to regulate our toilet seats.,0.0
10386.json,5,I belong to the AFL-CIO.,0.0
3054.json,5,"Whether you like to admit it or not, half our general revenue goes to education.",0.0
772.json,5,You ... said that Barack Obama was not ready to be commander in chief.,0.0
968.json,5,Warren (Buffett) still does support me.,0.0
2824.json,5,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",0.0
679.json,5,"As governor, I've stood up to ... the big oil companies.",0.0
12373.json,5,On how to respond to Puerto Ricos debt crisis.,0.0
65.json,5,I've cast a couple of 99-1 votes and been the lone dissenter.,0.0
4544.json,5,On running for the presidency in 2012,0.0
4166.json,5,Says that U.S. Rep. Allen West is a constituent of mine.,0.0
5914.json,5,On support for gay marriage.,0.0
834.json,5,Fidel (Castro) has made his preferences known in the campaign and had some very unkind things to say about me.,0.0
3760.json,5,"You cant give a child an aspirin in school without permission. You cant do any kind of medication, but we can secretly take the child off and have an abortion.",0.0
630.json,5,On torture.,0.0
976.json,5,The Republican leadership's budget proposal doesn't contain any numbers.,0.0
8607.json,5,I did not support the sequester.,0.0
10199.json,5,I spent only $36.29 on my campaign for governor.,0.0
341.json,5,"When I was in college, we used to take a popcorn popper . . . and we would fry squirrel.",0.0
5310.json,5,On deporting illegal immigrants.,0.0
12418.json,5,"When I was secretary of state, I had a very high approval rating.",0.0
691.json,5,That luxury jet was over the top. I put it on eBay.,0.0
2208.json,5,The overall fact about illegal immigration is that its not actually getting worse.,0.0
2891.json,5,"Hillsboroughs Public Transportation Commission has a rule that says cabbies have to wear socks. I mean, please. Come on.",0.0
7282.json,5,It is ironic that (First Energy Corp. is) going to have a name on our (football stadium) where we (Cleveland Public Power) supply the electricity.,0.0
12692.json,5,Says Gary Farmers claim that he received an A from the NRA is an absolute lie.,0.0
11699.json,5,"If you are going to kill the families of terrorists, realize that theres something called the Geneva Convention were going to have to pull out of.",0.0
13412.json,5,This is a test of the Share the Facts widget.,0.0
377.json,5,Could I just point out that ... I seem to get the first question all the time?,0.0
9907.json,5,"The president referred to the Syrian opposition just a few months ago as pharmacists and doctors, and so on.",0.0
7138.json,5,Says he has never voted for raising taxes.,0.0
