id,label,statement,check_worthiness
12981.json,2,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",0.0
13370.json,2,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,0.0
13026.json,2,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,0.0
10879.json,2,The Supreme Court cant overrule the other two branchesof government.,0.0
4022.json,2,We do not want to raise anybodys tax rates. Thats never been on the table.,0.0
11073.json,2,"Despite keeping distance from national media interviewers, I did local press all along, the last three months.",0.0
9876.json,2,"Says on contraception, his plan is cheaper and easier for you than Sen. Mark Udalls",0.0
1458.json,2,Says his executive order requiring young girls to be vaccinated against HPV wasnt mandatory.,0.0
11713.json,2,We didnt go out and take information from the Hillary Clinton campaign.,0.0
2787.json,2,"Its hard to get people in Portland to vote yes on ballot measures, especially when theres opposition.",0.0
2329.json,2,Says Rick Perry is a 25-year incumbent.,0.0
7703.json,2,Why is President Obama unnecessarily delaying your flight? FAA could cut other spending.,0.0
1856.json,2,I've traveled the country advocating for the FairTax ...,0.0
12665.json,2,Says he voted to remove Common Core from our schools.,0.0
4595.json,2,"Says any attempt to try to compare the Massachusetts health care law with the federal health care law is completely, intellectually dishonest. Governor Romney did not raise one tax in doing what he did.",0.0
507.json,2,"We have drawn down to presurge levels. Basra, Mosul and now Sadr City are quiet and it's long and it's tough and there will be setbacks.",0.0
598.json,2,"Obama ""says he'll raise taxes on electricity.""",0.0
5798.json,2,"The Wisconsin law repealed by Republicans, which allowed discriminated workers to sue in state court, was kind of a gravy train for lawyers.",0.0
8726.json,2,The Obama administration offered no magic number of people that needed to sign up for health care on the marketplaces.,0.0
424.json,2,My husband didn't wrap up the nomination until June.,0.0
11909.json,2,Says Jeb Bush said he would take his pants off and moon everybody ... Nobody reports that.,0.0
8400.json,2,"When SACS came back to the DeKalb County School District to give a midterm review, we got straight As.",0.0
10988.json,2,Says Scott Walker said that forcing women facing abortion to get invasive ultrasounds was just a cool thing.,0.0
8750.json,2,I have never lobbied for offshore oil drilling.,0.0
12584.json,2,Go look at a Trump product. Theyre all made in China.,0.0
9679.json,2,Says Mark Pryor continues to insist that Obamacare is an amazing success.,0.0
12561.json,2,"Attempts to find things like, crime, criminal activity, indictment, have been filtered out by Google in favor of Hillary Clinton.",0.0
6044.json,2,"Right now, Im polling at about 8 percent against Barack Obama and Mitt Romney.",0.0
3792.json,2,Early voting remains at 96 hours.,0.0
1721.json,2,We actually have not required in this law that you carry health insurance.,0.0
13220.json,2,Says Will Hurd said a border-long U.S.-Mexico wall absolutely makes sense.,0.0
13361.json,2,"When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it.",0.0
7403.json,2,Says of a failed cloture vote on nominating Chuck Hagel for defense secretary: This is not a filibuster.,0.0
5065.json,2,Says Milwaukee County buses are no less safe now than a year or two ago.,0.0
3265.json,2,"When it comes to taking cuts in tough budget times, Wisconsin state workers havent had to sacrifice.",0.0
721.json,2,I said two years ago that the Fannie and Freddie thing was a very serious problem and we had to work on it.,0.0
12262.json,2,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton had one line on the Palestinian people.",0.0
3052.json,2,I have fought for our shared values without being an ideologue or a partisan,0.0
8568.json,2,"In reality, there have been no problems whatsoever with the Texas voter ID law.",0.0
12481.json,2,"Because George Holding doesnt live in the congressional district hes running for, he doesnt experience the same things that we are all experiencing.",0.0
10891.json,2,The CEO of Goldman Sachs let his employees know that hed be just fine with either Bush or Clinton.,0.0
4452.json,2,I asked the unions to pay into their own health care insurance ... and they said I was being unreasonable. I requested that they contribute toward their own pensions ... and they screamed it was unfair.,0.0
10220.json,2,China has made enormous progress in its human rights. That is a fact recognized by all the people in the world.,0.0
3388.json,2,I have askedtheDivision of Emergency Management toreport directly to me.,0.0
6088.json,2,"Says Robert Menendez is the king of raising money from Wall Street, over a million dollars, one of the leaders in the United States Senate. I havent raised any Wall Street money at all.",0.0
167.json,2,"All of the records, as far as I know, about what we did with health care, those are already available.",0.0
637.json,2,I argued for years that we need to move from a 'Musharraf policy' to a 'Pakistan policy.' ,0.0
9566.json,2,"An image of nine white, blondwomen shows the amazing diversity of Fox News anchors.",0.0
8032.json,2,"This is the same (farm) bill we voted on a few weeks ago, with the exception of one or two sentences.",0.0
11171.json,2,"On allowing abortion in cases of rape or incest, I have never said that or advocated that.",0.0
6904.json,2,We werent told they wanted more security for diplomatic facilities in Libya.,0.0
11765.json,2,"In Houston, Texas, today, there are no homeless veterans.",0.0
9404.json,2,Redskins is used historically as a term of respect.,0.0
550.json,2,I didn't say it doesn't really matter whether Gore or Bush is president.,0.0
4458.json,2,The Green Bay Packers are a socialist organization.,0.0
2014.json,2,"As Washington debates cracking down on the big Wall Street banks, Ive passed legislation that does so.",0.0
9848.json,2,Says Michigan U.S. Senate candidateTerri Lynn Land said guaranteeing equal pay for women who do the same job as men is not a good idea.,0.0
10531.json,2,"ISIS lures women with kittens, nutella.",0.0
9120.json,2,"Premeditation, in murder cases like the Oscar Pistorius case, can be formed in the twinkling of an eye.",0.0
10505.json,2,A married couple that use the same last name is rarer and rarer in our country.,0.0
5138.json,2,Says Mitt Romney runs away from Ronald Reagan.,0.0
1178.json,2,Its a plan that incorporates ideas from many of the people in this room tonight Democrats and Republicans.,0.0
6988.json,2,The sequester is not something that Ive proposed. It is something that Congress has proposed.,0.0
11245.json,2,How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They dont.,0.0
10023.json,2,Says Michelle Nunn is for amnesty.,0.0
2059.json,2,I said no to higher taxes and fees.,0.0
11868.json,2,"Regarding the Iraq War, I was the one that said, Dont go, dont do it, youre going to destabilize the Middle East.",0.0
1258.json,2,You dont know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s.,0.0
2200.json,2,Ive shut down pill mills.,0.0
9695.json,2,We did not seek an impeachment of President Bush.,0.0
4490.json,2,Says credit rating agencies realize that our instability stems in large part from Oregons kicker system.,0.0
9808.json,2,Congress is on vacation.,0.0
4635.json,2,I dont think Ive ever hired an illegal in my life.,0.0
5967.json,2,Says he fought for the repeal of a septic tank inspection program after Tallahassee pulled a fast one.,0.0
11927.json,2,Travis County residents trusted me to take on Tom DeLay and we won.,0.0
2125.json,2,Jim Marshall votes liberal in Washington ... and we arent fooled.,0.0
1370.json,2,I didn't campaign on a public option.,0.0
837.json,2,"For my energy plan, my economic plan, and the other proposals you'll hear tonight, I've offered spending cuts above and beyond their cost.",0.0
13032.json,2,Says Russian President Vladimir Putin calls me brilliant.,0.0
8947.json,2,Says Alex Sink supported higher sales taxes.,0.0
12397.json,2,Says Mike Coffman is with Trump.,0.0
2944.json,2,I have always been focused on reining in the deficit.,0.0
590.json,2,I have little doubt that we've moved into recession at this point.,0.0
11252.json,2,I released all my emails.,0.0
10813.json,2,"On my last trip to New Hampshire, I think I met the guy who founded the first and only bank since Dodd-Frank passed, since the financial crisis. One bank in the country.",0.0
9082.json,2,"After hiring a campaign manager in 2006, I got this $100 and something fee ... for hazardous materials.",0.0
13149.json,2,"Says no, youre wrong, responding to the assertion that stop-and-frisk was ruled unconstitutional in New York.",0.0
2007.json,2,"When you were casting your vote for Republicans, Brian Kemp was voting for Democrats.	message-machine,voting-record	doug-macginnitie	Sandy Springs City Councilman	Georgia	republican	1	1	0	0	0	a campaign commercial
789.json	half-true	I want to give every American a $5,000 refundable tax credit.""",0.0
10668.json,2,"If you took every penny of the 1 percent, including their dog, you wouldnt even begin to balance the budget.",0.0
12491.json,2,"Says Judge Gonzalo Curiel is a member of a club or society, very strongly pro-Mexican.",0.0
12228.json,2,"Senate Bill 1070, simply, just mirrors federal law.",0.0
11219.json,2,"If I had not asked for my emails all to be made public, none of this would have been in the public arena.",0.0
12725.json,2,[Hillary Clinton]s not trusted -- virtually at all.,0.0
210.json,2,I do provide universal health care.,0.0
436.json,2,"If the U.S. stops adding to the Strategic Petroleum Reserve, it ""will lessen worldwide demand for oil"" and reduce prices.",0.0
1173.json,2,"Van Jones is an avowed, self-avowed radical revolutionary communist.",0.0
11569.json,2,The Democratic Party is getting smaller and smaller and smaller.,0.0
2749.json,2,"Of the states that have a lieutenant governor, many are currently discussing the need for such an obsolete office.",0.0
628.json,2,"On Obama, ""The press warns the 'Taxman Cometh.'""",0.0
2483.json,2,Says he took down the mob in Northeast Ohio,0.0
5492.json,2,If you look up the dictionary definition of happiness at the time of our founders happiness was not doing what you want to do but doing what you ought to do.,0.0
13235.json,2,ICE just endorsed me.,0.0
10587.json,2,The governor must inform the Senate president about his or her absence from the state.,0.0
4800.json,2,Says President Barack Obama thinks Americans are lazy.,0.0
10162.json,2,I fought 38 Studios from the beginning.,0.0
4499.json,2,Says he never said he wanted to move Social Security back to the states.,0.0
10100.json,2,This (Ebola) is not as bad as SARSwas in 2003.,0.0
9041.json,2,Says his Patient OPTION Act is the only Republican plan that completely repeals Obamacare and it takes the federal bureaucrat out of decisions for you.,0.0
1373.json,2,Americans admire Glenn Beck more than they admire the pope.,0.0
6364.json,2,Says U.S. Senate candidate Eric Hovde has no problem with raising taxes.,0.0
2770.json,2,Says Washingtons reach extends to even telling us what kind of light bulb we can use.,0.0
10108.json,2,Blocking travel from countries with Ebola should be possible because President Barack Obama has sealed off Israel in the past.,0.0
4645.json,2,With recent growth it is very clear that private-sector jobs have been doing fine.,0.0
10955.json,2,"When was the last time you saw a Chevrolet in Japan? It doesnt exist, folks.",0.0
11088.json,2,"Four times, I said, he (John McCain)is a hero, but you know ... people choose selective pieces.",0.0
12969.json,2,The Hollywood celebrities endorsing Hillary Clinton are in many cases celebrities that arent very hot anymore.,0.0
3944.json,2,The president came in and campaigned against me 12 times.,0.0
12218.json,2,Poll after poll after poll shows me beating Hillary.,0.0
8964.json,2,Says Alex Sink supported higher property taxes.,0.0
4211.json,2,(Rep. Bob Goodlattes) balanced budgetamendment does not require a balanced budget.,0.0
13144.json,2,Republican Mark Kirk is outsourcing his campaign to a Super PAC funded almost exclusively by a bunch of hedge fund billionaires. ...I dont have a Super PAC.,0.0
3875.json,2,"Part of his ride was to warn the British that were already there that, Hey, youre not going to succeed.",0.0
12470.json,2,Says Hillary Clinton has spoken such lies about my foreign policy. They said I want Japan to get nuclear weapons. Give me a break.,0.0
8195.json,2,"The book Little Red Riding Hood is something thats been banned in America, but not assault weapons.",0.0
2043.json,2,Says Democratic opponent is too Republican to stand up for us.,0.0
12937.json,2,"Medical-grade marijuana alonewill not get that patient high, no matter what level of THC, CBD or any other compound is found in the plant.",0.0
236.json,2,I can't sign money. That's illegal.,0.0
8617.json,2,The administration was kicking and screaming all the way with these sanctions being put in place (on Iran).,0.0
12947.json,2,Who would sign up to speak for a (Haitian) dictator? Rob Portman.,0.0
4816.json,2,Obama has (a) new Christmas tree tax.,0.0
2668.json,2,Says Julie Parrish is one of Sarah Palins mama grizzlies.,0.0
9262.json,2,Greenlight Pinellas wont take existing lanes from other vehicles.,0.0
