sentence_id,Verdict,score,Text,reasoning
12600,1,20.0,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?","This sentence contains subjective claims and opinions, and does not contain any clear factual claims that can be checked using publicly available information."
25315,1,0.0,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate.",This sentence contains no factual claims that can be checked using publicly available information. It only expresses the speaker's belief and the action they took (supported a bill).
19702,1,0.0,"We're even shipping 3,000 Kurds to Guam.","This sentence is non check-worthy as it contains a statement about shipping 3,000 Kurds to Guam, which is an opinion-centered statement and not factual. There is no publicly available information to fact-check this claim."
17550,1,0.0,"In my opinion, as we deal with this deficit, people from about $70,000 a year on down have to be dealt with very, very carefully, because they are the ones who didn't get any relief the first time around.","This sentence is non check-worthy as it contains an opinion statement 'have to be dealt with very, very carefully' and a subjective statement 'people from about $70,000 a year on down'."
21457,1,0.0,"In terms of programs, I've submitted, what, 4 different budgets to the US Congress in great detail.","This statement is non-checkworthy as it is about the number of budgets submitted by an individual to the US Congress, which is a subjective and trivial factual claim."
27831,1,0.0,"I said that we would provide guarantees, and -- and that was what was able to allow these companies to go through bankruptcy, to come out of bankruptcy.","This sentence does not contain any factual claims that are checkworthy. It is a statement about what the speaker did, which is not a fact that can be verified or falsified using publicly available information."
7036,1,0.0,"If you're married, you got tax relief.","This statement is not check-worthy as it is an opinion and a generalization. Marriage status does not automatically grant tax relief, and tax laws vary greatly depending on individual circumstances."
27627,1,0.0,So our troops will come home at that point.,"This sentence does not contain any factual claims that are checkworthy. It only states that 'our troops will come home' at some point, which is a subjective and future-oriented statement."
34131,1,0.0,"He violated the red line in the sand, and he made so many mistakes, made all the mistakes.",This sentence contains multiple subjective statements and does not contain any clear factual claims that can be checked using publicly available information.
18687,1,0.0,"No president, through all of American history, has ever ceded, and nor would I, the right to preempt in any way necessary to protect the United States of America.",This statement is an opinion and does not contain any factual claims that can be checked using publicly available information.
21717,1,0.0,I am not for national registration of firearms.,This statement is a subjective opinion and does not contain any factual claims that can be checked using publicly available information.
34250,1,0.0,"He now also aligned with Iran, who we made very powerful.","This sentence contains a claim about aligning 'He' with Iran and making Iran'very powerful'. However, it lacks specificity and quantifiability, making it difficult to fact-check using publicly available information. Additionally, the sentence does not provide any context or evidence to support the claim. Therefore, it is considered non-checkworthy."
