id,label,statement,check_worthiness
9028.json,3,The economic turnaround started at the end of my term.,0.0
2109.json,3,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,0.0
4267.json,3,On how money from a possible lease of the Ohio Turnpike would be used,0.0
1347.json,3,On legalizing illegal immigrants.,0.0
12285.json,3,We know that Saudi Arabia started al-Qaida.,0.0
675.json,3,"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.",0.0
13313.json,3,What I have put forward does not add a penny to the debt.,0.0
9547.json,3,David Perdue said hed raise taxes.,0.0
1910.json,3,"The minute this proposal for near-beach oil drilling came up, I was against it.",0.0
13279.json,3,"When asked about equal pay for women, (Rubios) quote was that it was a waste of time.",0.0
9009.json,3,It isnt me cutting the budget. Its the Congressdecision on sequestration. So it isnt secretary of defense or the president doing this.,0.0
8882.json,3,On abortion,0.0
9020.json,3,On delaying a health care mandate on business.,0.0
6334.json,3,Says India gained jobs thanks to Romney.,0.0
7579.json,3,On changing the rules governing judicial conflicts of interest,0.0
2658.json,3,What is the maximum number of students allowed in your classroom? ... 30 or more!,0.0
4801.json,3,On auditing the Federal Reserve,0.0
7041.json,3,On a single-payer healthcare system,0.0
6503.json,3,On supporting the charter school amendment.,0.0
6413.json,3,We have reduced funding for education the least. Theyve suffered the least cuts.,0.0
5444.json,3,Says that Rick Santorum voted for the unions over FedEx.,0.0
13372.json,3,We are seeing kids who are healthier.,0.0
12871.json,3,I havent switched my position on the Trans-Pacific Partnership trade deal.,0.0
5205.json,3,I didnt inherit money from my parents.,0.0
8873.json,3,What is and isnt a Schedule I narcotic is a job for Congress.,0.0
10574.json,3,I never said I was on the Falkland Islands.,0.0
11290.json,3,"When it comes to classified information at the State Department, Hillary Clintons the decider.",0.0
8132.json,3,"If we dont spend money on a pier, then that money does wipe into the general funds of the city or the county, and if you send it to the county, you never see it again.",0.0
7748.json,3,"We are dealing with an administration that, quite frankly, has shown a reluctance to enforce the immigration law.",0.0
665.json,3,"(McCain) says ""we can't have ... timelines to draw down our troops from Iraq.""",0.0
11523.json,3,Iowas Republican caucus stopped mattering years ago. It in no way determines the party nominee.,0.0
