event_id,claim,label,check_worthiness
191326,A photograph shows a gorilla knitting itself a scarf. ,0,0.0
192517,Musician XXXTentacion staged his death and was found alive on 15 April 2019. ,0,0.0
198675,"Albert Einstein said: ""We are slowed down sound and light waves, a walking bundle of frequencies tuned into the cosmos. We are souls dressed up in sacred biochemical garments and our bodies are the instruments through which our souls play their music.""",0,0.0
199658,"An image shows a redesign of the character ""Sonic"" for an upcoming movie. ",0,0.0
201669,A video shows a lobster writing a series of numbers with a pen. ,0,0.0
211259,"CNN published an article entitled ""Should Women be allowed to breastfeed on the battlefield?"" ",0,0.0
212028,A photograph shows President Donald Trump's thinning hair blowing in the wind.,0,0.0
213122,"NASA ""admitted"" that climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.",0,0.0
213264,"A video shows Osama bin Laden singing Lady Gaga's ""Poker Face."" ",0,0.0
215830,Teenage environmental activist Greta Thunberg is actually an Australian actress named Estella Renee. ,0,0.0
216002,Musician Jimi Hendrix faked his death and is now living as actor Morgan Freeman. ,0,0.0
217585,"Former President Barack Obama tweeted: ""Ask Ukraine if they found my birth certificate.""",0,0.0
221222,"No one has been killed at a gun show, thus proving that guns do not kill people.",0,0.0
222305,A photograph shows a colorful rainbow grasshopper.,0,0.0
222916,"A sequel to ""Titanic"" called ""Titanic 2: The Return of Jack"" is scheduled for release in 2020. ",0,0.0
226794,"Actor Keanu Reeves said, ""For me, Trump is the symbol of a successful man and a role model for every young American.""",0,0.0
231932,A photograph shows Prince Harry and Megan Markle in front of their new RV camper. ,0,0.0
235378,A special astronomical property allows brooms to be stood on end during particular days of the year.,0,0.0
236708,Kobe Bryant's daughter Natalia Bryant died by suicide in February 2020. ,0,0.0
239948,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection. ",0,0.0
240554,"An MSNBC reporter said on air: ""I hope enough people die from coronavirus that it harms Trump's reelection.""",0,0.0
241962,Eating bananas is a preventative against the COVID-19 coronavirus disease.,0,0.0
242392,"After discovering a doomsday asteroid was approaching Earth, world leaders created the COVID-19 pandemic in an effort to distract the world population and force everyone to spend time with their families during Earth's final days. ",0,0.0
248014,"A baseball player using an axe as a bat cut the ball in two with his swing and knocked half of it over the fence, scoring half a run and winning the game.",0,0.0
248316,"The official Costco Facebook page sarcastically told ""Sharon"" that her opposition to wearing a mask in its stores would someday be the subject of a documentary. ",0,0.0
249333,Vegetarians are unaffected by COVID-19 because the virus is passed on through eating meat. ,0,0.0
250961,A bottle of hand sanitizer will spontaneously combust if left in a hot car. ,0,0.0
251490,Donald Trump murdered a woman named Carolyn Gombell in 2000. ,0,0.0
252279,Minneapolis police officer Derek Chauvin committed suicide in his prison cell.,0,0.0
256834,"Tennis star Serena Williams posted a message on social media that began, ""I'm sick of COVID-19. I'm sick of black vs. white. I'm sick of Republicans vs. Democrats."" ",0,0.0
258658,Music artist Beyoncé is really an Italian woman named Ann Marie Lastrassi. ,0,0.0
260358,"Democratic presidential candidate Joe Biden said during a May 2020 interview with CNBC that ""I'm going to beat Joe Biden.""",0,0.0
263051,Wearing a mask to prevent the spread of COVID-19 is unnecessary because the disease can also be spread via farts. ,0,0.0
209842,"U.S. President Donald Trump tweeted that he loves the Chinese people ""just as I love Melania or Ivanka!""",0,0.0
233744,"Director Ron Howard penned an essay starting ""I am a liberal, but that doesn't mean what a lot of you apparently think it does.""",0,0.0
259745,A tweet by President Trump about preserving American heritage and history echoed a speech given by Adolf Hitler in 1939.,0,0.0
261472,Adolf Hitler was behind the invention of the first inflatable sex dolls.,0,0.0
229739,"Actor/director Clint Eastwood wrote an opinion piece that started with the statement, ""I love when people call Trump stupid.""",0,0.0
239954,Taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs. ,0,0.0
248211,"When U.S. President Donald Trump was asked what he'd say to people who lost family members to COVID-19, he replied, ""I would say this didn't hurt anyone as much as it hurt me.""",0,0.0
258155,"Taylor Swift said ""We should remove the Statue of Liberty.""",0,0.0
261310,"In response to a question in a July 2020 CNN interview about what would happen if a COVID-19 outbreak occurred in schools, U.S. Education Secretary Betsy DeVos said, “You can’t plan for something that hasn’t happened yet.”",0,0.0
261794,"Searching for any three-digit number followed by ""new cases"" on Google provides evidence that the COVID-19 pandemic was manufactured. ",0,0.0
