tweet_id,check_worthiness,score,tweet_text,reasoning,raw_response
1234964653014384644,1,80,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States",,"  Thank you for providing the tweet for fact-checking! Based on the criteria you've outlined, I would give the tweet a check-worthiness score of 80. Here's why:Score: 80Reasoning:1. Ver"
1234869939720216578,0,80,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg",,"  Based on the information provided in the tweet, I would give it a check-worthiness score of 80. Here's my reasoning:Score: 80Reasoning:This tweet appears to contain false information and could potentially harm the general public or specific"
1234873136304267267,0,80,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.",,"  Sure, I'd be happy to help you with that!Based on the tweet you provided, I would give it a check-worthiness score of 80. Here's why:Reasoning:* The tweet makes a factual claim about the"
1235071285027147776,0,60,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,,"  Sure, I can help you with that!Based on the information provided in the tweet, I would give it a check-worthiness score of 60. Here's why:Reasoning:* The tweet makes a comparison between the COVID-19"
1234911110861594624,1,80,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.",,"  Thank you for providing me with the tweet to analyze. Based on the criteria you provided, I would give the tweet a check-worthiness score of 80.Here's why:Reasoning:* The tweet contains a verifiable factual claim."
1234685467682979840,0,80,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.",,"  Sure, I can help you with that!After reviewing the provided tweet, I would give it a check-worthiness score of 80. Here's why:{ ""score"": 80, ""reasoning"": ""The tweet contains a verifiable factual"
1235024875279933440,0,30,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip",,"  Sure, I'd be happy to help you with that!After analyzing the tweet you provided, I would give it a check-worthiness score of 30. Here's why:{ ""score"": 30, ""reasoning"": ""The tweet contains"
1235083359501430789,0,80,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.",,"  Sure, I'd be happy to help you with that!Based on the information provided in the tweet, I would give it a check-worthiness score of 80. Here's why:Reasoning:The tweet contains a verifiable factual"
1235219248903073800,0,70,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,,"  Sure, I can help you with that!After analyzing the tweet you provided, I would give it a check-worthiness score of 70. Here's why:Reasoning:* The tweet contains a verifiable factual claim: The tweet"
1234979421464879105,1,80,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,,"  Based on the provided tweet, I would give it a check-worthiness score of 80. Here's why:Score: 80Reasoning:* The tweet makes a verifiable factual claim about the Trump administration's handling of the COVID"
1235185048078278657,0,80,Safety always comes first. Do not panic and stay safe. #CoronaAlert <link>,,"  Thank you for providing the tweet for fact-checking! Based on the criteria you've outlined, I would give the following tweet a check-worthiness score of 80.Here's the reasoning behind my score:Score: 80Reason"
1234916336393969667,0,80,"Countries with largest numbers of #coronavirus diagnoses  1. China 2. South Korea 3. Italy 4. Iran 5, Japan 6. France 7. Germany 8. Spain 9. Singapore 10. USA",,"  Sure, I'd be happy to help you with that!Based on the tweet you provided, I would give it a check-worthiness score of 80. Here's why:Reasoning:* The tweet provides a list of countries with the"
1234616723615166465,0,80,"I'm stunned by the depth of #coronavirus information being released in #Singapore. On this website you can see every known infection case, where the person lives and works, which hospital they got admitted to, and the network topology of carriers, all laid out on a time-series <link>",,"  Sure, I can help you with that!Based on the tweet you provided, I would give it a check-worthiness score of 80. Here's why:Score: 80Reasoning:* The tweet contains a verifiable"
1235351764737675264,0,75,"Thank you, keep up the great work!",,"  Thank you for the request! I'd be happy to help you with fact-checking the tweet you provided.After analyzing the tweet, I would give it a check-worthiness score of 75. Here's my reasoning:{ ""score"": 7"
1235149229179404289,0,80,"The new #coronavirus has killed about 3.4% of confirmed cases globally - making it deadlier than the flu, but still containable.   The seasonal flu's fatality rate is below 1% https://aje.io/gysap",,"  Sure, I can help you with that! Based on the information provided in the tweet, I would give it a check-worthiness score of 80. Here's why:Score: 80Reasoning:The tweet contains a verifiable factual"
