id,label,statement,check_worthiness
2020.json,4,The insurance commissioner cant do squat about health care.,0.0
7916.json,4,Immigrants are more fertile.,0.0
10295.json,4,"We are younger than our competitors, and this is entirely because of immigration.",0.0
8443.json,4,"Common Core is not from the federal government, they do not have their fingerprints on this thing at all.",0.0
9103.json,4,I was the most bipartisan senator in the United States Senate.,0.0
2489.json,4,"When Tallahassee politicians and bureaucrats tried to run our schools, Ive stood up to them to protect local control.",0.0
13173.json,4,The U.S. Senate has one manufacturer thatd be me.,0.0
5864.json,4,We will not ask for a tax increase to run city government.,0.0
11425.json,4,I am very proud that over my almost 30 years of public service I have had no scandals.,0.0
4908.json,4,"Says that as Wisconsin governor, we ended welfare.",0.0
12239.json,4,I remain one of the poorer members of the United States Senate.,0.0
2126.json,4,Shirley Sherrod was forced to resign before anybody on Fox said a word about this.,0.0
10912.json,4,500 percent more traffic here?,0.0
8086.json,4,I was filibustered.,0.0
12136.json,4,Says JoAnne Kloppenburg has told us she thinks its her job to promote a more equal society.,0.0
11836.json,4,Ill be running against a career politician.,0.0
11877.json,4,People think AIDS is done --its not done.,0.0
6680.json,4,Says he and Mitt Romney always said that we agree with the 2014 deadline for leaving Afghanistan.,0.0
1719.json,4,Says he said last year theres absolutely no reason for Texas to secede.,0.0
8128.json,4,There is no planned air-conditioned restaurant out on the Lens.,0.0
272.json,4,There's not a major bill I know with Hillary's name on it.,0.0
9707.json,4,"The people who want President Barack Obama impeached are all white, theyre all older, and guess what, theyre in the far right wing of the Republican Party.",0.0
5393.json,4,I have a very conservative voting record.,0.0
12327.json,4,Winning enough pledged delegates is not impossible.,0.0
4178.json,4,Most countries have no debt ceiling.,0.0
3703.json,4,Ive been through four campaigns and have not done any negative campaigning.,0.0
1979.json,4,I have a record on the environment of creating green energy ... taking trash and turning it into cash.,0.0
5078.json,4,Says he helped save the Olympic games.,0.0
89.json,4,Took on the Olympics and turned them around,0.0
10110.json,4,When I go on Letterman the ratings go up.,0.0
481.json,4,"Eliminating earmarks ""would make barely a drop in the bucket with regard to the national debt, the deficit.""",0.0
6114.json,4,"Vagina. Because apparently, saying that word in the Michigan State House of Representatives can get you a two-day ban from speaking on the floor.",0.0
13323.json,4,Says Rob Portman said the auto rescue was a lousy deal for Ohio.,0.0
543.json,4,I've always said it's (offshore drilling) up to the states and I still say that.,0.0
8550.json,4,"Given how expansive our program already was, expanding Medicaid in New Jersey due to Obamacare was a relatively small expansion.",0.0
13027.json,4,"Classified material has a header which says top-secret, secret, confidential. Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.",0.0
3167.json,4,Says he predicts the weather better than Punxsutawney Phil.,0.0
7373.json,4,I was never against same-sex marriage.,0.0
2082.json,4,"Opponent Holly Benson said that Just because youre poor doesnt mean youre unhealthy, it just means you have a lot more time to go running.",0.0
10098.json,4,I was speaking out on pension reform almost 17 years ago.,0.0
2313.json,4,Pat Toomey thinks corporations shouldnt pay any taxes.,0.0
907.json,4,Geithner's failure to pay self-employment taxes while working for the IMF is a mistake that is commonly made for people who are working internationally or for international institutions.,0.0
7443.json,4,Kewpie burgers are delicious. An Ohio institution. And theyll cost less thanks to John Kasichs tax cut.,0.0
12463.json,4,Says he never told anyone he hated the U.S. Senate.,0.0
8615.json,4,"Were the Sunshine State, and were hardly doing any solar energy production.",0.0
3494.json,4,Says Jeff Stone = Scott Walker.,0.0
11315.json,4,Says Marco Rubio has the worst voting record there is today.,0.0
7449.json,4,"When I ran against incumbent President Gerald Ford, you know how much money we raised? None.",0.0
5782.json,4,President Obamas suggested reduction in spending for next year: $0.,0.0
8975.json,4,Barry Smitherman doesnt have enough legal experience to apply for most of the jobs at the attorney generals office.,0.0
13063.json,4,Youve got a medical report on me that meets the same standard as Mitt Romney and Barack Obama.,0.0
1395.json,4,The Trans-Texas Corridor is dead.,0.0
10154.json,4,"Says his promise of 250,000 new private sector jobs was a big goal.",0.0
11213.json,4,"Theres not a single, solitary example that signing the bill to end Glass-Steagall had anything to do with the financial crash.",0.0
11822.json,4,I have never supported cap and trade.,0.0
6062.json,4,"When I started in Ohio it was terrible. Now, were getting bipartisan support for our bills. And thats called leadership.",0.0
4664.json,4,My son had to resign his job because of federal regulations that Washington has put on us.,0.0
3932.json,4,Says George LeMieux falsely attacked Marco Rubio.,0.0
8825.json,4,Says Alex Sink supported more taxes on water and TV.,0.0
4164.json,4,Theres pretty much no question that [the curfew ordinances] arent effective in either reducing crime or preventing harm to young people.,0.0
12452.json,4,I believe we should have tax on carbon and deal aggressively with climate change. That is not (Hillary Clintons)position.,0.0
7496.json,4,The Georgia Senate ethics resolution doesnt define cap.,0.0
11535.json,4,"Go look on the West Point website and youll see those specific words, full scholarship to West Point. So even though it is, you know, given as a grant for anybody who gets in, those words are used.",0.0
7421.json,4,"The sequester wont consider whether were cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesnt make those distinctions.",0.0
12524.json,4,"In America, radical speech is not a crime.",0.0
6043.json,4,Says he cut the budget.,0.0
7808.json,4,The IRS doesnt have to prove something against you ... youve got the burden of proof.,0.0
