tweet_id,check_worthiness,score,tweet_text,reasoning,raw_response
1234964653014384644,1,,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States",,"  Great! Let's evaluate the tweet you provided:1. Identify if the tweet contains a verifiable factual claim:Yes, the tweet contains a verifiable factual claim. The President of the United States, Donald Trump, is donating his salary to the"
1234869939720216578,0,,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg",,"  Sure, I'd be happy to help you evaluate the tweet!1. Identify if the tweet contains a verifiable factual claim:The tweet contains a claim that Michael Bloomberg is spreading the coronavirus by touching community food with his saliva-so"
1234873136304267267,0,,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.",,"  Sure, I'd be happy to help you evaluate the tweet!1. Identify if the tweet contains a verifiable factual claim:Yes, the tweet contains a verifiable factual claim. The statement ""The corona virus isn't a big deal"" is"
1235071285027147776,0,1,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,,"  Sure, I'd be happy to help you evaluate the tweet and provide a checkworthiness score!1. Identify if the tweet contains a verifiable factual claim:The tweet contains a verifiable factual claim in the form of a comparison between the reaction to the"
1234911110861594624,1,,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.",,"  Sure, I'd be happy to help you evaluate the tweet!1. Identify if the tweet contains a verifiable factual claim:The tweet contains a verifiable factual claim in the statement ""President @realDonaldTrump made a commitment to donate his"
1234685467682979840,0,,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.",,"  Sure, I'd be happy to help you evaluate the tweet!1. Identify if the tweet contains a verifiable factual claim:Yes, the tweet contains a verifiable factual claim. The author of the tweet states that they have symptoms of COVID-"
1235024875279933440,0,,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip",,"  Sure, I'd be happy to help you evaluate the checkworthiness of the tweet!Task 1: Identify if the tweet contains a verifiable factual claimThe tweet contains a claim that a home movie clip reminds the speaker of the COVID-19 pan"
1235083359501430789,0,,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.",,"  Sure, I'd be happy to help you evaluate the tweet!1. Identify if the tweet contains a verifiable factual claim:The tweet contains a verifiable factual claim in the statement ""Experts across the world have advised to reduce mass gatherings"
1235219248903073800,0,,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,,"  Sure, I'd be happy to help you evaluate the tweet!1. Identify if the tweet contains a verifiable factual claim:Yes, the tweet contains a verifiable factual claim. The Prime Minister of Israel, Benjamin Netanyahu, is encouraging Israel"
1234979421464879105,1,,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,,"  Sure, I'd be happy to help you with this task! Here's my evaluation of the tweet:1. Identify if the tweet contains a verifiable factual claim:The tweet contains a factual claim that the Trump Administration did not have enough test kits for"
