id,label,statement,check_worthiness
10215.json,1,I dont know who (Jonathan Gruber) is.,0.0
3652.json,1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,0.0
8187.json,1,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,0.0
1978.json,1,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,0.0
8755.json,1,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,0.0
13142.json,1,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0.0
7555.json,1,The Air Force wants taxpayers to fund a fantasy football league.,0.0
2367.json,1,Im the only one whos fought against developers draining the Everglades!,0.0
3195.json,1,Says he never said he would keep education funding the same.,0.0
610.json,1,On using the Strategic Petroleum Reserve.,0.0
2806.json,1,Social Security is indeed a Ponzi scheme.,0.0
8347.json,1,"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.",0.0
11453.json,1,You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,0.0
13252.json,1,"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",0.0
3469.json,1,On whether the United States should intervene in Libya.,0.0
5897.json,1,"When we took office, let me remind you, there was virtually no international pressure on Iran.",0.0
4064.json,1,On repeal of Wisconsins smoking ban,0.0
3447.json,1,"What we have now is the most generous, in my opinion, good time bill in the entire United States.",0.0
1862.json,1,Turkey is an Arab country.,0.0
13464.json,1,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.,0.0
5919.json,1,On abortion,0.0
12457.json,1,"It was allowed, referring to her email practices.",0.0
2860.json,1,On an earmark moratorium.,0.0
828.json,1,"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'",0.0
10021.json,1,On support for the auto bailouts.,0.0
10609.json,1,I unsealed my records at Marquette University.,0.0
294.json,1,I don't have lobbyists running my campaign.,0.0
4300.json,1,Our credit rating went up since Ive been in office.,0.0
3790.json,1,"On whether he would vote for the budget proposed by Rep. Paul Ryan, R-Wis.",0.0
12689.json,1,Just look at what the FBI director said about her (Hillary Clinton) her misconduct is a disgrace and embarrassment to our country.,0.0
10954.json,1,On same-sex marriage.,0.0
3570.json,1,On the way the federal government should spend Floridas rejected high-speed rail money.,0.0
13131.json,1,I did not support the war in Iraq The record shows that Im right.,0.0
13103.json,1,I never said that Muslims would be subject to profiling under his policies.,0.0
3145.json,1,Says government is a barrier to innovation and development.,0.0
11132.json,1,"The law says ... when a police officer stops you, do whatever he says and then deal with it later.",0.0
349.json,1,Everything I have said (on the campaign trail) has been factually accurate.,0.0
9845.json,1,"On tax inversions, the Wall Street Journalsurprisingly attacked this tax scheme.",0.0
13126.json,1,You will learn more about Donald Trump by going down to the Federal Elections to see the financial disclosure form than by looking at tax returns.,0.0
698.json,1,My opponent promises to bring back old jobs by wishing away the global economy.,0.0
13531.json,1,"Says U.S. Rep. Nancy Pelosi said, Employers cutting hours is a good thing. It then gives that person time to pursue their dreams and passions.",0.0
